 5-1. 노선별 가로등 시설현황(시도),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ○ [(형태 : 마주보기-A, 지그재그-B, 한쪽-C, 중앙-D) (등주type : 원형-R, 팔각-E, STS-S, AL-A,) (표기 예시)알미늄재질원형 10m Y주 암2.5m=AR10Y-25 ]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ○ 설치년도,광원,용량,형태,배전방식,등주타입 등이 다를때에는 다음 칸을 이용(같은 칸에서 Alt Enter 키 이용금지)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" ○ 도로연장은 편측설치, 양측설치를 구분하고 실제 도로연장만 기재(가로등 설치연장 자동계산 됨)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ○ 교량하부등은 각종 하부통과도로 상에 있는 조명을 뜻하며 교량점검용 조명은 제외할 것 ,,,,,,,,,,,,," 6,756 ","1,205 "," 7,961 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"도로
구분","노선
번호",노선명,구 간,"노폭
(m)",도로연장(m),,"가로등
설치연장","설치
년도","조도
(lx)","경간
(m)",형태,"선로
배전
방식", 차도등 ,,,,보행등,,,"육교수
(개소)
/
등수",,,,교량하부등,,,터널등,,,,,지하(보)차도등,,,,,지하보도등,,,경관조명,,,"분전함
(수량)",비고
,,,,,편측,양측,,,,,,,등주type,본수,광원,등수,본수,광원,등수,"육교
(개소)",본수,광원,등수,"하부
(개소)",광원,등수,"터널
(개소)", 차도등 ,, 보행등 ,,"차도
(개소)", 차도등 ,, 보도등 ,,"보도
(개소)",광원,등수,"설치
(개소)",광원,등수,,
,,,,,,,(편+양×2),,,,,,,,,,,,,,,,,,,,,광원,등수,광원,등수,,광원,등수,광원,등수,,,,,,,,
,,송파대로,중대로~로데오,50 ,,,0 ,1996 ,30,27,,2,SE10Y-28, 36 ,MH350, 72 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,잠실하단진입로~잠실역,50 ,,90 ,180 ,2019 ,30,30,A,2,SE12-교차4, 1 ,LED 200, 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,잠실하단진입로~잠실역,50 ,,,0 ,2019 ,30,30,A,2,R10-25, 20 , LED100 , 40 ,,LED50, 20 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,잠실대교~잠실역,50 ,,,0 ,2019 ,30,30,A,2,SE12Y-교차4, 2 , LED150 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,장지동~성남시계,50 ,,,0 ,2019 ,30,,,2,SE15-교차8, 2 , LED150 , 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,   
,,송파대로,잠실역~성남시계,50 ,,,0 ,2019 ,30,,,2,SE8Y-28, 3 , LED150 , 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,석촌역~송파지하차도,50 ,,,0 ,2004 ,30,,A,2,SE12-28, 12 ,MH350, 12 ,,CDM70, 5 ,,,,,,,,,,,,,,,,,,,,,,,,, 헬리오 
,,송파대로,잠실~성남시계,50 ,,,0 ,1996 ,30,25,,2,SR10-28, 66 ,MH350, 66 ,,,,,,,,,,,,,,,,,,,,,,,,,,,   ,   
,,송파대로,잠실역~석촌호수로,50 ,,,0 ,2017 ,30,25,A,2,R10-25, 33 , LED150 , 33 ,,LED50, 33 ,,,,,,,,,,,,,,,,,,,,,,,,,
,,송파대로,잠실역~석촌호수로,50 ,,,0 ,2017 ,30,25,A,2,R10Y-25, 18 , LED150 , 36 ,,LED50, 18 ,,,,,,,,,,,,,,,,,,,,,,,,,
